#Time_points	A7	A10	A12	D7	D10	D12	F7	F10	F12	H7	H10	H12
0:00:00	-411.1	-1660.8	-2680.7	-1752.1	-4236.4	-8100.6	-3243.9	-9930.3	-13784.9	-3694.6	-12905.9	-9022.9
0:05:00	-377.5	-1553.5	-2470.0	-1495.2	-3583.9	-7690.5	-2884.7	-9146.6	-13194.8	-3544.7	-12341.1	-8575.3
0:10:00	-331.4	-1414.3	-2167.3	-1204.7	-3024.2	-7091.5	-2505.0	-8389.0	-12296.2	-3328.4	-11512.7	-7896.3
0:15:00	-287.9	-1255.5	-1838.6	-1036.5	-2872.1	-6383.9	-2219.2	-7877.1	-11235.6	-3059.9	-10587.6	-7144.4
0:20:00	-243.3	-1087.2	-1524.8	-1003.1	-2868.1	-5679.4	-1994.0	-7408.3	-10162.6	-2764.9	-9705.5	-6414.6
0:25:00	-195.2	-914.3	-1225.2	-989.6	-2737.4	-5070.0	-1811.9	-6831.7	-9150.7	-2480.4	-8889.2	-5708.4
0:30:00	-158.3	-744.6	-938.9	-941.5	-2526.2	-4548.2	-1748.7	-6207.8	-8215.3	-2230.4	-8113.3	-5038.0
0:35:00	-129.4	-601.1	-676.3	-878.1	-2311.7	-4075.2	-1770.3	-5617.5	-7340.6	-2021.0	-7352.6	-4436.1
0:40:00	-99.8	-476.6	-442.2	-814.4	-2116.9	-3641.6	-1739.1	-5064.8	-6528.6	-1824.5	-6614.4	-3878.8
0:45:00	-69.8	-355.0	-226.6	-752.4	-1932.1	-3231.0	-1624.5	-4524.6	-5794.8	-1615.4	-5888.0	-3285.2
0:50:00	-39.0	-234.4	-23.6	-688.9	-1726.2	-2832.9	-1467.8	-3996.3	-5091.7	-1418.9	-5076.2	-2607.1
0:55:00	-13.2	-118.0	149.8	-616.7	-1492.3	-2457.6	-1300.3	-3501.2	-4389.5	-1242.8	-4155.5	-1918.2
1:00:00	7.3	-21.0	276.2	-538.8	-1296.8	-2116.9	-1142.9	-3037.7	-3738.4	-1063.4	-3227.4	-1423.6
1:05:00	27.7	45.8	388.0	-465.1	-1178.7	-1796.0	-997.9	-2584.6	-3162.5	-897.1	-2375.9	-1173.3
1:10:00	47.6	100.0	527.1	-403.7	-1058.9	-1482.6	-864.7	-2170.2	-2634.4	-763.4	-1668.1	-963.2
1:15:00	68.0	152.3	658.9	-359.3	-890.1	-1198.5	-761.2	-1795.5	-2117.3	-653.6	-1110.2	-730.9
1:20:00	92.5	205.3	737.7	-314.8	-711.4	-939.3	-672.3	-1394.1	-1601.1	-555.4	-651.9	-509.4
1:25:00	113.4	259.2	792.3	-252.4	-567.5	-670.4	-567.3	-1004.2	-1119.4	-461.0	-246.6	-236.2
1:30:00	129.3	299.9	856.9	-195.3	-468.6	-442.1	-459.4	-719.7	-687.2	-381.1	135.7	88.4
1:35:00	136.5	325.5	908.0	-168.7	-401.3	-257.2	-371.4	-494.7	-308.4	-304.5	463.0	382.3
1:40:00	131.0	343.3	929.5	-152.4	-323.7	-75.8	-300.1	-279.6	28.6	-207.0	790.4	592.0
1:45:00	131.5	356.0	941.2	-119.1	-223.8	79.8	-236.3	-67.6	373.1	-110.9	1121.0	749.8
1:50:00	140.0	373.5	954.9	-81.0	-136.8	212.4	-170.7	157.7	707.7	-42.9	1336.1	915.7
1:55:00	143.6	394.5	980.5	-54.0	-78.4	333.7	-100.2	387.1	965.7	6.7	1376.2	1057.5
2:00:00	142.6	408.4	1005.1	-26.0	-27.8	450.0	-33.0	552.0	1161.1	61.7	1303.0	1141.3
2:05:00	144.1	420.2	1016.2	4.2	30.1	582.7	31.8	653.7	1350.7	116.7	1306.2	1227.4
2:10:00	150.1	433.4	1015.5	27.6	84.3	707.4	94.8	789.8	1578.7	165.2	1489.0	1314.0
2:15:00	150.4	423.1	996.6	42.3	144.1	786.9	160.0	961.1	1811.0	225.5	1854.5	1369.5
2:20:00	145.7	391.7	964.0	52.1	193.1	832.0	218.1	1097.6	1958.0	295.4	2317.9	1427.0
2:25:00	148.3	371.7	936.2	60.4	208.5	854.9	257.1	1192.4	2040.4	349.1	2711.3	1541.1
2:30:00	158.0	367.6	902.1	65.2	225.0	876.0	277.4	1297.8	2136.5	380.3	2899.7	1715.3
2:35:00	162.9	360.7	843.6	70.4	251.2	906.7	295.9	1407.6	2209.2	429.8	2944.5	1873.9
2:40:00	154.3	341.7	779.4	80.2	274.8	934.1	320.5	1454.2	2216.3	534.5	2996.0	1929.2
2:45:00	144.6	332.3	726.5	80.2	305.8	936.9	350.3	1463.8	2199.4	692.5	3039.3	1914.8
2:50:00	150.1	337.9	677.5	59.5	335.3	902.7	379.2	1487.0	2146.8	874.6	3027.9	1885.5
2:55:00	159.7	331.6	623.5	40.0	350.6	850.1	401.9	1487.0	2037.8	982.3	3040.7	1808.9
3:00:00	158.8	308.7	552.4	42.8	353.9	812.3	412.4	1428.8	1923.6	974.1	3049.7	1685.5
3:05:00	154.8	281.5	474.8	63.5	337.2	801.1	427.1	1357.1	1856.2	944.2	2970.1	1560.3
3:10:00	153.2	261.5	424.5	88.0	302.8	783.8	460.1	1340.6	1827.5	931.0	2857.5	1444.2
3:15:00	146.9	252.5	398.2	110.0	268.4	724.3	485.4	1368.0	1764.3	910.9	2753.0	1316.2
3:20:00	133.6	258.3	353.4	132.1	255.2	640.0	495.2	1369.8	1628.8	876.1	2604.5	1178.1
3:25:00	123.5	265.3	290.7	166.6	269.8	560.8	495.6	1316.7	1467.0	844.2	2474.8	1055.7
3:30:00	123.9	255.6	224.1	218.9	279.8	485.0	459.7	1225.7	1297.0	830.4	2400.5	950.1
3:35:00	125.0	236.2	137.2	275.5	253.5	412.1	422.3	1107.6	1088.9	803.2	2308.8	810.7
3:40:00	117.0	221.0	48.6	322.8	213.4	340.5	439.4	965.2	861.9	748.5	2096.9	618.4
3:45:00	101.4	231.0	-20.8	346.5	163.9	264.2	460.7	797.6	632.5	689.3	1811.7	433.5
3:50:00	85.9	267.4	-86.0	324.3	61.1	141.7	417.3	590.1	346.0	632.7	1562.9	291.3
3:55:00	70.5	297.6	-145.8	274.3	-56.5	-37.5	332.6	349.1	-22.7	575.1	1317.4	144.0
4:00:00	55.4	310.1	-215.5	237.4	-124.6	-223.0	236.2	111.1	-396.4	485.9	1040.4	-65.9
4:05:00	47.2	305.7	-288.0	210.5	-164.3	-407.5	140.2	-99.8	-721.7	345.1	774.6	-301.8
4:10:00	45.7	265.3	-339.3	174.8	-206.2	-596.9	75.9	-306.9	-1011.0	234.2	495.6	-506.8
4:15:00	44.5	178.9	-387.8	144.9	-251.7	-747.3	43.2	-531.6	-1293.6	193.6	155.7	-694.4
4:20:00	39.8	70.3	-450.5	127.8	-329.3	-848.1	10.4	-755.9	-1567.4	141.3	-187.2	-868.8
4:25:00	38.0	-22.0	-499.2	97.4	-437.2	-941.9	-23.3	-962.8	-1824.5	71.1	-390.8	-964.9
4:30:00	38.8	-80.8	-525.7	64.2	-517.8	-1071.5	-56.7	-1158.6	-2049.5	27.5	-480.6	-1013.4
4:35:00	40.2	-110.1	-562.3	55.9	-580.5	-1218.5	-114.7	-1341.3	-2236.2	-11.6	-625.0	-1128.4
4:40:00	38.2	-109.5	-589.5	43.4	-653.7	-1353.7	-189.2	-1508.8	-2403.3	-74.8	-807.1	-1300.5
4:45:00	27.2	-89.3	-578.0	-5.4	-714.6	-1465.9	-255.0	-1677.6	-2527.1	-148.2	-973.8	-1409.6
4:50:00	16.5	-68.7	-554.4	-52.7	-752.7	-1525.6	-310.2	-1860.2	-2609.0	-196.2	-1162.5	-1415.2
4:55:00	11.7	-49.0	-539.2	-77.1	-771.2	-1515.1	-345.4	-1988.4	-2675.8	-224.6	-1340.9	-1383.7
5:00:00	5.9	-30.8	-527.4	-107.5	-787.9	-1475.0	-368.2	-2039.1	-2711.9	-258.6	-1504.6	-1370.5
5:05:00	2.8	-15.1	-514.5	-154.0	-815.4	-1446.2	-400.6	-2076.2	-2703.2	-299.7	-1656.2	-1334.3
5:10:00	6.0	-7.4	-501.0	-182.0	-845.0	-1418.6	-444.9	-2131.1	-2653.7	-352.1	-1739.8	-1214.6
5:15:00	9.1	-20.8	-492.5	-174.8	-868.4	-1384.3	-481.5	-2215.4	-2567.8	-398.4	-1757.7	-1067.7
5:20:00	8.1	-37.9	-500.2	-177.2	-877.5	-1358.2	-518.1	-2300.2	-2445.6	-424.9	-1789.5	-994.7
5:25:00	6.0	-56.7	-515.0	-209.3	-883.2	-1306.2	-565.7	-2327.4	-2313.2	-455.1	-1867.8	-975.7
