#Time_points	A7	A10	A12	D7	D10	D12	F7	F10	F12	H7	H10	H12
0:00:00	1210	4580	8020	3270	7560	11700	5290	14700	20900	6290	21700	17900
0:05:00	1250	4840	8350	3760	9100	12500	6200	16800	21900	6620	22700	18500
0:10:00	1340	4950	8740	4300	10400	13200	6690	17900	23100	6850	23800	19600
0:15:00	1360	5130	9070	4450	9780	14000	6900	17900	24300	7160	24900	20300
0:20:00	1380	5330	9350	4330	9700	14900	7060	18500	25500	7530	25800	21100
0:25:00	1480	5450	9650	4360	10100	15500	7470	19200	26600	7830	26700	21800
0:30:00	1490	5730	9930	4470	10300	16000	7550	20000	27600	8130	27500	22600
0:35:00	1500	5800	10200	4540	10600	16600	7280	20600	28500	8350	28300	23200
0:40:00	1560	5940	10400	4620	10800	17000	7450	21200	29500	8490	29200	23700
0:45:00	1550	6050	10600	4700	11000	17500	7590	21800	30200	8800	29800	24300
0:50:00	1620	6180	10800	4760	11200	17900	7800	22400	30900	9040	30600	25000
0:55:00	1620	6280	11000	4850	11500	18400	7990	23000	31800	9140	31800	25900
1:00:00	1650	6440	11100	4960	11900	18700	8200	23400	32500	9410	32700	26700
1:05:00	1650	6430	11100	5030	11800	19100	8300	24000	33100	9610	33700	26400
1:10:00	1700	6510	11300	5130	12000	19400	8540	24500	33700	9720	34500	26800
1:15:00	1670	6560	11500	5170	12200	19900	8630	24800	34200	9880	34900	27200
1:20:00	1740	6590	11500	5180	12500	19900	8680	25200	34900	9940	35600	27200
1:25:00	1740	6680	11500	5290	12600	20500	8850	26000	35400	10100	35700	27600
1:30:00	1740	6720	11600	5400	12800	20700	9000	26000	35900	10200	36500	28000
1:35:00	1800	6710	11700	5400	12800	20800	9090	26400	36400	10200	36600	28400
1:40:00	1720	6770	11600	5390	12900	21200	9170	26600	36700	10400	36900	28600
1:45:00	1740	6730	11700	5450	13100	21300	9270	26900	37100	10500	37600	28700
1:50:00	1770	6770	11600	5550	13200	21500	9300	27100	37700	10600	37600	28900
1:55:00	1750	6790	11700	5520	13300	21700	9470	27500	37900	10600	38000	29300
2:00:00	1760	6820	11700	5590	13300	21800	9470	27800	38200	10700	37400	29100
2:05:00	1730	6770	11700	5630	13500	22000	9640	27700	38400	10800	37700	29400
2:10:00	1770	6860	11700	5660	13500	22300	9630	28000	38700	10800	37700	29500
2:15:00	1760	6840	11700	5690	13600	22300	9800	28300	39200	10900	38300	29600
2:20:00	1730	6740	11600	5690	13800	22500	9820	28500	39400	11000	38800	29600
2:25:00	1740	6750	11600	5730	13700	22500	9950	28600	39400	11100	39500	29800
2:30:00	1750	6740	11600	5730	13800	22600	9900	28700	39700	11100	39600	30000
2:35:00	1770	6770	11500	5740	13900	22700	10000	29100	40000	11100	39500	30400
2:40:00	1750	6710	11400	5760	13900	22800	9990	29100	39900	11300	39600	30400
2:45:00	1700	6660	11400	5820	14000	22900	10100	29100	40100	11400	40000	30300
2:50:00	1730	6760	11300	5750	14100	22900	10100	29300	40200	11700	39600	30500
2:55:00	1760	6690	11300	5740	14100	22900	10200	29400	40100	12000	39900	30400
3:00:00	1730	6700	11200	5750	14200	22900	10200	29400	40100	11700	40000	30300
3:05:00	1720	6620	11100	5810	14200	23000	10200	29300	40100	11800	40000	30200
3:10:00	1730	6640	11000	5830	14200	23100	10300	29400	40300	11800	39600	30200
3:15:00	1720	6590	11100	5880	14200	23100	10400	29600	40400	11800	40100	30100
3:20:00	1700	6610	11000	5890	14200	23000	10300	29700	40300	11800	39500	30000
3:25:00	1660	6660	10900	5930	14300	23100	10500	29700	40200	11700	39700	29900
3:30:00	1690	6600	10900	6010	14400	23000	10400	29700	40300	11800	39500	29900
3:35:00	1680	6600	10800	6100	14400	23100	10300	29700	40100	11800	39800	29900
3:40:00	1680	6560	10600	6130	14300	23000	10400	29600	40000	11700	39500	29600
3:45:00	1640	6530	10700	6230	14500	23100	10600	29600	39900	11700	39100	29500
3:50:00	1630	6670	10500	6230	14400	23200	10500	29600	40100	11700	39200	29500
3:55:00	1630	6690	10600	6140	14300	23100	10500	29600	39800	11700	39300	29700
4:00:00	1580	6700	10500	6170	14400	23100	10500	29500	39800	11800	39000	29500
4:05:00	1600	6740	10400	6200	14500	23200	10400	29600	39700	11600	39100	29400
4:10:00	1570	6720	10400	6180	14500	23000	10400	29600	39800	11400	39000	29300
4:15:00	1610	6620	10400	6120	14600	23100	10500	29600	39700	11700	38900	29400
4:20:00	1550	6480	10300	6240	14700	23100	10500	29500	39700	11600	38500	29100
4:25:00	1580	6370	10200	6190	14500	23300	10500	29600	39700	11500	38400	29200
4:30:00	1560	6350	10300	6150	14600	23200	10600	29500	39600	11600	38900	29400
4:35:00	1560	6290	10200	6180	14700	23200	10600	29600	39800	11600	38700	29400
4:40:00	1570	6300	10100	6320	14600	23200	10500	29500	39700	11600	38500	29100
4:45:00	1540	6350	10200	6160	14700	23200	10600	29700	39800	11500	38800	29100
4:50:00	1500	6350	10200	6160	14700	23200	10500	29500	40000	11500	38400	29200
4:55:00	1530	6350	10200	6190	14800	23400	10600	29500	40000	11600	38500	29400
5:00:00	1490	6410	10200	6220	14900	23600	10600	29800	40200	11500	38400	29400
5:05:00	1480	6330	10200	6140	14900	23700	10700	29800	40300	11600	38300	29400
5:10:00	1490	6470	10200	6110	15000	23800	10600	30000	40600	11500	38200	29600
5:15:00	1480	6300	10200	6190	15000	24000	10700	30000	40700	11500	38500	30000
5:20:00	1480	6360	10200	6300	15100	24100	10700	30000	41100	11500	38400	30000
5:25:00	1450	6300	10100	6140	15200	24100	10700	30100	41300	11600	38500	30000
5:30:00	1450	6260	10100	6190	15200	24500	10700	30300	41500	11400	38300	30000
5:35:00	1470	6220	10200	6280	15300	24600	10700	30600	41900	11600	38300	30300
5:40:00	1470	6290	10200	6310	15500	24800	10700	30700	42300	11600	38500	30400
5:45:00	1430	6270	10200	6290	15500	24800	10800	30900	42400	11600	39000	30400
5:50:00	1440	6320	10300	6230	15600	25300	10900	31400	43000	11600	38800	30600
5:55:00	1420	6160	10300	6260	15700	25400	10900	31400	43200	11700	38900	30700
6:00:00	1410	6330	10300	6360	15800	25500	11000	31800	43600	11700	39200	31100
6:05:00	1390	6180	10300	6350	15900	25900	11100	31800	44100	11900	39400	31400
6:10:00	1380	6250	10400	6340	16100	26100	11000	32200	44500	11800	39500	31400
6:15:00	1350	6300	10400	6370	16200	26300	11200	32600	44900	11900	39600	31500
6:20:00	1400	6220	10300	6400	16500	26500	11200	32900	45300	11900	40400	31600
6:25:00	1370	6230	10500	6440	16500	26800	11300	33100	45800	12100	39900	31800
6:30:00	1390	6220	10400	6450	16700	27000	11400	33600	46100	12000	40200	32400
6:35:00	1350	6260	10400	6530	16700	27300	11400	33700	46500	12200	40600	32400
6:40:00	1330	6110	10400	6490	17000	27500	11600	34100	47100	12100	40700	32600
6:45:00	1350	6280	10500	6580	17100	27800	11600	34500	47400	12200	41000	32800
6:50:00	1330	6180	10400	6610	17300	28000	11600	34900	47800	12300	41400	32900
6:55:00	1300	6210	10700	6610	17400	28200	11700	35100	48200	12400	41800	33100
7:00:00	1300	6160	10600	6720	17500	28400	11900	35400	48300	12400	42000	33200
7:05:00	1290	6220	10600	6720	17800	28700	12000	35800	48800	12500	42300	33400
7:10:00	1260	6160	10700	6810	17900	29000	12200	36200	49000	12500	42200	33400
7:15:00	1260	6150	10500	6860	18000	29000	12200	36700	49400	12600	42400	33400
7:20:00	1260	6210	10600	6860	18100	29200	12300	36700	49800	12700	42700	33600
7:25:00	1270	6160	10700	6890	18300	29200	12400	37100	49800	12800	42800	33500
7:30:00	1240	6210	10600	6950	18400	29500	12500	37200	49900	12900	42900	33600
7:35:00	1230	6170	10600	6950	18600	29400	12600	37600	50400	12900	43000	33600
7:40:00	1240	6160	10700	7060	18700	29600	12700	37900	50200	12900	43100	33600
7:45:00	1220	6130	10600	7150	18800	29800	12800	38200	50200	12900	43200	33800
7:50:00	1240	6130	10500	7100	19000	29900	12800	38200	50400	13000	43300	33500
7:55:00	1190	6160	10500	7120	19100	29800	13000	38500	50700	13200	43500	33500
8:00:00	1140	6070	10700	7190	19300	29900	13100	38600	50300	13100	43500	33400
8:05:00	1180	6070	10600	7240	19300	29900	13100	38700	50400	13100	43600	33500
8:10:00	1150	6050	10600	7330	19300	30000	13200	39000	50300	13200	43600	33300
8:15:00	1160	6050	10500	7360	19400	30000	13400	39000	50400	13100	43600	33200
8:20:00	1150	6020	10600	7370	19500	29900	13400	39000	50200	13200	43600	33200
8:25:00	1130	6040	10500	7460	19500	29900	13600	39000	50100	13200	43700	33000
8:30:00	1110	5990	10500	7460	19600	29900	13600	39200	49900	13200	43300	32700
8:35:00	1100	5910	10400	7410	19700	29900	13700	39200	49500	13200	43200	32600
8:40:00	1100	5870	10300	7450	19600	29800	13800	39200	49300	13200	43100	32500
8:45:00	1120	5920	10300	7540	19800	29800	13800	39100	49200	13200	43400	32200
